SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
1.102,Statement of guiding principles for the Federal Acquisition System.,Participants in the acquisition process should work together as a team and should be empowered to make decisions within their area of responsibility.,obligations_02,process should work
1.102-2,Performance standards.,(4) The Government must not hesitate to communicate with the commercial sector as early as possible in the acquisition cycle to help the Government determine the capabilities available in the commercial marketplace.,prohibitions_04,Government must not hesitate
1.102-2,Performance standards.,(2) The System must provide uniformity where it contributes to efficiency or where fairness or predictability is essential.,obligations_02,System must provide
1.102-2,Performance standards.,"(3) The Government shall exercise discretion, use sound business judgment, and comply with applicable laws and regulations in dealing with contractors and prospective contractors.",obligations_02,Government shall exercise
1.102-2,Performance standards.,"In attaining these goals, and in its overall operations, the process shall ensure the efficient use of public resources.",obligations_02,process shall ensure
1.102-4,Role of the acquisition team.,"In particular, the contracting officer must have the authority to the maximum extent practicable and consistent with law, to determine the application of rules, regulations, and policies, on a specific contract.",obligations_02,officer must have
1.102-4,Role of the acquisition team.,Contracting officers should take the lead in encouraging business process innovations and ensuring that business decisions are sound.,obligations_02,officers should take
1.105-2,Arrangement of regulations.,Subdivisons may be used at the section and subsection level to identify individual paragraphs.,dispensations_00,Subdivisons may be used
1.105-2,Arrangement of regulations.,(2) This regulation may be referred to as the Federal Acquisition Regulation or the FAR.,dispensations_00,regulation may be referred
1.201-1,The two councils.,"Membership shall include representatives of the military departments, the Defense Logistics Agency and the Defense Contract Management Agency.",obligations_02,Membership shall include
1.301,Policy.,"Subject to the authorities in paragraph (c) below and other statutory authority, an agency head may issue or authorize the issuance of agency acquisition regulations that implement or supplement the FAR and incorporate, together with the FAR, agency policies, procedures, contract clauses, solicitation provisions, and forms that govern the contracting process or otherwise control the relationship between the agency, including any of its suborganizations, and contractors or prospective contractors.",permissions_99,head may issue
1.301,Policy.,"(2) Subject to the authorities in (c) below and other statutory authority, an agency head may issue or authorize the issuance of internal agency guidance at any organizational level (e.g., designations and delegations of authority, assignments of responsibilities, work-flow procedures, and internal reporting requirements).",permissions_99,head may issue
1.301,Policy.,"(b) Agency heads shall establish procedures to ensure that agency acquisition regulations are published for comment in the Federal Register in conformance with the procedures in subpart 1.5 and as required by 41 U.S.C. 1707, and other applicable statutes, when they have a significant effect beyond the internal operating procedures of the agency or have a significant cost or administrative impact on contractors or offerors.",obligations_02,heads shall establish
1.301,Policy.,"(c) When adopting acquisition regulations, agencies shall ensure that they comply with the Paperwork Reduction Act (44 U.S.C. 3501, et seq. ) as implemented in 5 CFR part 1320 (see 1.105) and the Regulatory Flexibility Act (5 U.S.C. 601, et seq. ).",obligations_02,agencies shall ensure
1.301,Policy.,"Normally, when a law requires publication of a proposed regulation, the Regulatory Flexibility Act applies and agencies must prepare written analyses or certifications as provided in the law.",obligations_02,agencies must prepare
1.301,Policy.,"(d) Agency acquisition regulations implementing or supplementing the FAR are, for— (1) The military departments and defense agencies, issued subject to the authority of the Secretary of Defense; (2) NASA activities, issued subject to the authorities of the Administrator of NASA; and (3) The civilian agencies other than NASA, issued by the heads of those agencies subject to the overall authority of the Administrator of General Services or independent authority the agency may have.",permissions_99,agency may have
1.304,Agency control and compliance procedures.,"(a) Under the authorities of 1.301(d), agencies shall control and limit issuance of agency acquisition regulations and, in particular, local agency directives that restrain the flexibilities found in the FAR, and shall establish formal procedures for the review of these documents to assure compliance with this part 1.",obligations_02,agencies shall control
1.304,Agency control and compliance procedures.,(c) Agencies shall evaluate all regulatory coverage in agency acquisition regulations to determine if it could apply to other agencies.,permissions_99,it could apply
1.403,Individual deviations.,The contracting officer must document the justification and agency approval in the contract file.,obligations_02,officer must document
1.404,Class deviations.,"When an agency knows that it will require a class deviation on a permanent basis, it should propose a FAR revision, if appropriate.",obligations_02,it should propose
1.404,Class deviations.,"For civilian agencies except NASA, class deviations may be authorized by agency heads or their designees, unless 1.405(e) is applicable.",dispensations_00,deviations may be authorized
1.404,Class deviations.,"Authorization of class deviations by agency officials is subject to the following limitations: (1) An agency official who may authorize a class deviation, before doing so, shall consult with the chairperson of the Civilian Agency Acquisition Council (CAA Council), unless that agency official determines that urgency precludes such consultation.",permissions_99,who may authorize
1.501-2,Opportunity for public comments.,"Each of these notices shall include— (1) The text of the revision or, if it is impracticable to publish the full text, a summary of the proposal; (2) The address and telephone number of the individual from whom copies of the revision, in full text, can be requested and to whom comments thereon should be addressed; and (3) When 1.501-3(b) is applicable, a statement that the revision is effective on a temporary basis pending completion of the public comment period.",obligations_02,notices shall include
1.601,General.,The agency head may establish contracting activities and delegate broad authority to manage the agency's contracting functions to heads of such contracting activities.,permissions_99,head may establish
1.601,General.,Contracts may be entered into and signed on behalf of the Government only by contracting officers.,dispensations_00,Contracts may be entered
1.601,General.,(b) Agency heads may mutually agree to— (1) Assign contracting functions and responsibilities from one agency to another; and (2) Create joint or combined offices to exercise acquisition functions and responsibilities.,dispensations_00,heads may mutually agree
1.602-1,Authority.,Contracting officers may bind the Government only to the extent of the authority delegated to them.,permissions_99,officers may bind
1.602-1,Authority.,Contracting officers shall receive from the appointing authority (see 1.603-1) clear instructions in writing regarding the limits of their authority.,obligations_02,officers shall receive
1.602-3,Ratification of unauthorized commitments.,"(1) Agencies should take positive action to preclude, to the maximum extent possible, the need for ratification actions.",obligations_02,Agencies should take
1.602-3,Ratification of unauthorized commitments.,"Although procedures are provided in this section for use in those cases where the ratification of an unauthorized commitment is necessary, these procedures may not be used in a manner that encourages such commitments being made by Government personnel.",dispensations_00,procedures may not be used
1.602-3,Ratification of unauthorized commitments.,(4) Agencies should process unauthorized commitments using the ratification authority of this subsection instead of referring such actions to the Government Accountability Office for resolution.,obligations_02,Agencies should process
1.603-1,General.,Agency heads or their designees may select and appoint contracting officers and terminate their appointments.,permissions_99,designees may select
1.603-2,Selection.,"In selecting contracting officers, the appointing official shall consider the complexity and dollar value of the acquisitions to be assigned and the candidate's experience, training, education, business acumen, judgment, character, and reputation.",obligations_02,official shall consider
1.603-3,Appointment.,"(a) Contracting officers shall be appointed in writing on an SF 1402, Certificate of Appointment, which shall state any limitations on the scope of authority to be exercised, other than limitations contained in applicable law or regulation.",obligations_02,which shall state
1.603-3,Appointment.,Appointing officials shall maintain files containing copies of all appointments that have not been terminated.,obligations_02,officials shall maintain
1.603-4,Termination.,No termination shall operate retroactively.,obligations_02,termination shall operate
1.604,Contracting Officer's Representative (COR).,"The file must include, at a minimum— (a) A copy of the contracting officer's letter of designation and other documents describing the COR's duties and responsibilities; (b) A copy of the contract administration functions delegated to a contract administration office which may not be delegated to the COR ( see 1.602-2(d)(4)); and (c) Documentation of COR actions taken in accordance with the delegation of authority.",dispensations_00,which may not be delegated
1.703,Class determinations and findings.,A class may consist of contract actions for the same or related supplies or services or other contract actions that require essentially identical justification.,permissions_99,class may consist
1.703,Class determinations and findings.,(c) The contracting officer shall ensure that individual actions taken pursuant to the authority of a class D&F are within the scope of the D&F.,obligations_02,officer shall ensure
1.705,Supersession and modification.,"(a) If a D&F is superseded by another D&F, that action shall not render invalid any action taken under the original D&F prior to the date of its supersession.",prohibitions_04,action shall not render
2.101,Definitions.=,It can also mean the furnishing of professional advice or assistance rendered to improve the effectiveness of Federal management processes or procedures (including those of an engineering and technical nature).,dispensations_00,It can also mean
2.101,Definitions.=,"In rendering the foregoing services, outputs may take the form of information, advice, opinions, alternatives, analyses, evaluations, recommendations, training and the day-to-day aid of support personnel needed for the successful performance of ongoing Federal operations.",permissions_99,outputs may take
2.101,Definitions.=,"Bid sample means a product sample required to be submitted by an offeror to show characteristics of the offered products that cannot adequately be described by specifications, purchase descriptions, or the solicitation (e.g., balance, facility of use, or pattern).",dispensations_00,that cannot adequately be described
2.101,Definitions.=,"The submission may be converted to a claim, by written notice to the contracting officer as provided in 33.206(a), if it is disputed either as to liability or amount or is not acted upon in a reasonable time.",dispensations_00,submission may be converted
2.101,Definitions.=,"Classified acquisition means an acquisition in which offerors must have access to classified information to properly submit an offer or quotation, to understand the performance requirements, or to perform the contract.",obligations_02,offerors must have
2.101,Definitions.=,Classified contract means any contract in which the contractor or its employees must have access to classified information during contract performance.,obligations_02,employees must have
2.101,Definitions.=,"Classified information means any knowledge that can be communicated or any documentary material, regardless of its physical form or characteristics, that— (1)(i) Is owned by, is produced by or for, or is under the control of the United States Government; or (ii) Has been classified by the Department of Energy as privately generated restricted data following the procedures in 10 CFR 1045.21; and (2) Must be protected against unauthorized disclosure according to Executive Order 12958, Classified National Security Information, April 17, 1995, or classified in accordance with the Atomic Energy Act of 1954.",dispensations_00,that can be communicated
