SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
1.102-2,Performance standards.,(2) The System must provide uniformity where it contributes to efficiency or where fairness or predictability is essential.,subj_verb_obj_01,The System must provide uniformity
1.102-2,Performance standards.,"(3) The Government shall exercise discretion, use sound business judgment, and comply with applicable laws and regulations in dealing with contractors and prospective contractors.",subj_verb_obj_01,The Government shall exercise discretion
1.102-4,Role of the acquisition team.,(d) The System will foster cooperative relationships between the Government and its contractors consistent with its overriding responsibility to the taxpayers.,subj_verb_obj_01,The System will foster cooperative relationships
2.101,Definitions.=,"These projections may include rates for such things as labor, indirect costs, material obsolescence and usage, spare parts provisioning, and material handling.",subj_verb_obj_01,These projections may include rates
2.101,Definitions.=,"The elements may include hardware, equipment, software, or any combination thereof, but exclude construction or other improvements to real property.",subj_verb_obj_01,The elements may include hardware
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"The request must include information about the— (1) Procurement(s), or decision(s) on matters under 3.104-3(d)(1)(iii), involving the particular contractor, in which the individual was or is involved, including contract or solicitation numbers, dates of solicitation or award, a description of the supplies or services procured or to be procured, and contract amount; (2) Individual's participation in the procurement or decision, including the dates or time periods of that participation, and the nature of the individual's duties, responsibilities, or actions; and (3) Contractor, including a description of the products or services produced by the division or affiliate of the contractor from whom the individual proposes to accept compensation.",subj_verb_obj_01,The request must include information
3.906,Remedies.,"In any action brought under this section, the court may grant appropriate relief, including injunctive relief and compensatory and exemplary damages.",subj_verb_obj_01,the court may grant appropriate relief
3.907-6,Remedies and enforcement authority.,"In any action brought under this section, the court may grant appropriate relief, including injunctive relief, compensatory and exemplary damages, and attorneys fees and costs.",subj_verb_obj_01,the court may grant appropriate relief
3.908-7,Enforcement of orders.,"In any action brought pursuant to this authority, the court may grant appropriate relief, including injunctive relief, compensatory and exemplary damages, and attorney fees and costs.",subj_verb_obj_01,the court may grant appropriate relief
4.1603,Procedures.,An agency may reserve blocks of numbers or alpha-numeric numbers for use by its various components.,subj_verb_obj_01,An agency may reserve blocks
6.302-5,Authorized or required by statute.,"Ordinarily, these purchases will involve articles desired or preferred by customers of the selling activities (but see 6.301(d)).",subj_verb_obj_01,these purchases will involve articles
6.303-2,Content.,(a) Each justification shall contain sufficient facts and rationale to justify the use of the specific authority cited.,subj_verb_obj_01,Each justification shall contain sufficient facts
6.303-2,Content.,"(c) Each justification shall include evidence that any supporting data that is the responsibility of technical or requirements personnel (e.g., verifying the Government's minimum needs or schedule requirements or other rationale for other than full and open competition) and which form a basis for the justification have been certified as complete and accurate by the technical or requirements personnel.",subj_verb_obj_01,Each justification shall include evidence
7.104,General procedures.,The planner should review previous plans for similar acquisitions and discuss them with the key personnel involved in those acquisitions.,subj_verb_obj_01,The planner should review previous plans
7.503,Policy.,"This assessment should place emphasis on the degree to which conditions and facts restrict the discretionary authority, decision-making responsibility, or accountability of Government officials using contractor services or work products.",subj_verb_obj_01,This assessment should place emphasis
8.406-2,Inspection and acceptance.,"The consignee shall limit inspection to kind, count, and condition on receipt.",subj_verb_obj_01,The consignee shall limit inspection
9.207,Changes in status regarding qualification requirements.,"(b) After considering any of the above or other conditions reasonably related to whether a product or source continues to meet the standards specified for qualification, an agency may take appropriate action without advance notification.",subj_verb_obj_01,an agency may take appropriate action
9.207,Changes in status regarding qualification requirements.,This notice shall contain specific information why the product or source no longer meets the qualification requirement.,subj_verb_obj_01,This notice shall contain specific information
9.507-2,Contract clause.,"In every case, the restriction shall specify termination by a specific date or upon the occurrence of an identifiable event.",subj_verb_obj_01,the restriction shall specify termination
12.301,Solicitation provisions and contract clauses for the acquisition of commercial items.,If the acquisition will use funds appropriated or otherwise made available by the American Recovery and Reinvestment Act of 2009 (Pub.,subj_verb_obj_01,the acquisition will use funds
12.403,Termination.,The contractor may demonstrate such charges using its standard record keeping system and is not required to comply with the cost accounting standards or the contract cost principles in part 31.,subj_verb_obj_01,The contractor may demonstrate such charges
13.004,Legal effect of quotations.,"In other circumstances, the supplier may indicate acceptance by furnishing the supplies or services ordered or by proceeding with the work to the point where substantial performance has occurred.",subj_verb_obj_01,the supplier may indicate acceptance
14.407-3,Other mistakes disclosed before award.,"(h) Each agency shall maintain records of all determinations made in accordance with this subsection 14.407-3, the facts involved, and the action taken in each case.",subj_verb_obj_01,Each agency shall maintain records
14.503-1,Step one.,"(8) A statement that (i) offerors should submit proposals that are acceptable without additional explanation or information, (ii) the Government may make a final determination regarding a proposal's acceptability solely on the basis of the proposal as submitted, and (iii) the Government may proceed with the second step without requesting further information from any offeror; however, the Government may request additional information from offerors of proposals that it considers reasonably susceptible of being made acceptable, and may discuss proposals with their offerors.",subj_verb_obj_01,the Government may request additional information
15.101,Best value continuum.,An agency can obtain best value in negotiated acquisitions by using any one or a combination of source selection approaches.,subj_verb_obj_01,An agency can obtain best value
15.102,Oral presentations.,"(d) When oral presentations are required, the solicitation shall provide offerors with sufficient information to prepare them.",subj_verb_obj_01,the solicitation shall provide offerors
15.202,Advisory multi-step process.,"At a minimum, the notice shall contain sufficient information to permit a potential offeror to make an informed decision about whether to participate in the acquisition.",subj_verb_obj_01,the notice shall contain sufficient information
15.202,Advisory multi-step process.,The agency shall advise respondents considered not to be viable competitors of the general basis for that opinion.,subj_verb_obj_01,The agency shall advise respondents
15.203,Requests for proposals.,The solicitation may authorize offerors to propose alternative terms and conditions.,subj_verb_obj_01,The solicitation may authorize offerors
15.204-5,Part IV—Representations and Instructions.,"The instructions may specify further organization of proposal or response parts, such as— (1) Administrative; (2) Management; (3) Technical; (4) Past performance; and (5) Certified cost or pricing data (see Table 15-2 of 15.408) or data other than certified cost or pricing data.",subj_verb_obj_01,The instructions may specify further organization
15.305,Proposal evaluation.,An agency shall evaluate competitive proposals and then assess their relative qualities solely on the factors and subfactors specified in the solicitation.,subj_verb_obj_01,An agency shall evaluate competitive proposals
15.306,Exchanges with offerors after receipt of proposals.,These negotiations may include bargaining.,subj_verb_obj_01,These negotiations may include bargaining
15.403-3,Requiring data other than certified cost or pricing data.,"This data may include history of sales to non-governmental and governmental entities, cost data, or any other information the contracting officer requires to determine the price is fair and reasonable.",subj_verb_obj_01,This data may include history
15.404-2,Data to support proposal analysis.,"However, the auditor may discuss statements of facts with the contractor.",subj_verb_obj_01,the auditor may discuss statements
15.404-4,Profit.,This factor should compensate contractors proportionately for assuming greater cost risks.,subj_verb_obj_01,This factor should compensate contractors
