secno,cfr_subject,statement,subject,modality,action_verb,object,target
1.102,Statement of guiding principles for the Federal Acquisition System.,Participants in the acquisition process should work together as a team and should be empowered to make decisions within their area of responsibility.,Participants,obligation,work,decisions,responsibility
1.102-2,Performance standards.,(2) The System must provide uniformity where it contributes to efficiency or where fairness or predictability is essential.,fairness,obligation,provide,uniformity,efficiency
1.102-2,Performance standards.,"(3) The Government shall exercise discretion, use sound business judgment, and comply with applicable laws and regulations in dealing with contractors and prospective contractors.",Government,obligation,exercise,judgment,contractors
1.102-2,Performance standards.,"In attaining these goals, and in its overall operations, the process shall ensure the efficient use of public resources.",process,obligation,ensure,use,resources
1.102-4,Role of the acquisition team.,"In particular, the contracting officer must have the authority to the maximum extent practicable and consistent with law, to determine the application of rules, regulations, and policies, on a specific contract.",officer,obligation,have,application,contract
1.102-4,Role of the acquisition team.,Contracting officers should take the lead in encouraging business process innovations and ensuring that business decisions are sound.,decisions,obligation,take,innovations,
1.201-1,The two councils.,"Membership shall include representatives of the military departments, the Defense Logistics Agency and the Defense Contract Management Agency.",Membership,obligation,include,representatives,departments
1.301,Policy.,"Subject to the authorities in paragraph (c) below and other statutory authority, an agency head may issue or authorize the issuance of agency acquisition regulations that implement or supplement the FAR and incorporate, together with the FAR, agency policies, procedures, contract clauses, solicitation provisions, and forms that govern the contracting process or otherwise control the relationship between the agency, including any of its suborganizations, and contractors or prospective contractors.",that,permission,issue,relationship,suborganizations
1.301,Policy.,"(2) Subject to the authorities in (c) below and other statutory authority, an agency head may issue or authorize the issuance of internal agency guidance at any organizational level (e.g., designations and delegations of authority, assignments of responsibilities, work-flow procedures, and internal reporting requirements).",head,permission,issue,issuance,responsibilities
1.301,Policy.,"(b) Agency heads shall establish procedures to ensure that agency acquisition regulations are published for comment in the Federal Register in conformance with the procedures in subpart 1.5 and as required by 41 U.S.C. 1707, and other applicable statutes, when they have a significant effect beyond the internal operating procedures of the agency or have a significant cost or administrative impact on contractors or offerors.",they,obligation,establish,impact,contractors
1.301,Policy.,"(c) When adopting acquisition regulations, agencies shall ensure that they comply with the Paperwork Reduction Act (44 U.S.C. 3501, et seq. ) as implemented in 5 CFR part 1320 (see 1.105) and the Regulatory Flexibility Act (5 U.S.C. 601, et seq. ).",they,obligation,ensure,1.105,part
