promptID,promptText,completion,changes,comments,open1,open2
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,Every employer must furnish employment and a place of employment which are free from recognized hazards that are causing or likely to cause death or serious physical harm to his employees,,,,
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,"If an employer fails to provide a workplace free from hazards that could cause death or serious physical harm to their employees, then they are in violation of the regulations.",,,,
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,"If an employer does not identify hazards that are causing or likely to cause death or serious physical harm, then they are in violation of the regulations.",,,,
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,"If an employer does not properly address hazards causing or likely to cause death or serious physical harm, then they are in violation of the regulations.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator collects, uses, or discloses personal information from a child, then it must obtain verifiable parental consent.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator changes its practices for collecting, using, or disclosing personal information from a child, then it must obtain verifiable parental consent.",,,,
df60ee2e47b7a482e8b8a12cbd3835a4,(2) An operator must give the parent the option to consent to the collection and use of the child's personal information without consenting to disclosure of his or her personal information to third parties.,"If an operator collects and uses a child's personal information, then the parent must be given the option to consent to such collection and use without consenting to disclosure of the child's personal information to third parties.",,,,
71d7ee3b2982c35466de62f62dc47b32,(b) Methods for verifiable parental consent.,"If a website or online service is collecting personal information from children, then the website/service must provide a way for verifiable parental consent.",,,,
1cbfc676fe09d3c971109fa8cb85ae52,"(1) An operator must make reasonable efforts to obtain verifiable parental consent, taking into consideration available technology.","If an operator is using available technology, then they must make reasonable efforts to obtain verifiable parental consent.",,,,
34bec9731ef2346627b2772ceee997a0,"Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child's parent.","If a method of obtaining parental consent is used, then it must be calculated to ensure that it is the parent of the child providing the consent.",,,,
34bec9731ef2346627b2772ceee997a0,"Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child's parent.",and ,,,,
34bec9731ef2346627b2772ceee997a0,"Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child's parent.","If available technology can be used, then it must be used to verify that the person providing consent is the child's parent.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If the operator obtains a signed consent form from the parent, then the operator must make reasonable efforts to verify the authenticity of the form.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If the operator obtains consent through the use of a digital signature, then the operator must verify the consent using at least two different methods.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If the operator obtains consent through a toll-free telephone number, then the operator must use a credit card or other payment system that has verification procedures.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If the operator obtains consent through an email response, then the operator must use a verified email address. ",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If the operator obtains consent though video conference technology, then the operator must use technology that includes interactive audio-video.",,,,
559187c643cbe3b1ab08fcec14f0ca72,"(i) Providing a consent form to be signed by the parent and returned to the operator by postal mail, facsimile, or electronic scan;","IF a consent form is provided, THEN the parent must sign and return it to the operator via postal mail, facsimile, or electronic scan.",,,,
47d137224db42540de5bff57efcda23b,"(ii) Requiring a parent, in connection with a monetary transaction, to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder;","IF a parent is required to use a credit card, debit card or other online payment system to complete a monetary transaction THEN the primary account holder must be notified of each discrete transaction.",,,,
819465aacb82d12a2edff2657c51b0d3,(iii) Having a parent call a toll-free telephone number staffed by trained personnel;,"If a parent calls a toll-free number, then trained personnel will be available to assist them.",,,,
6094a2ac1f23196ca2df3e4c5e623c83,(iv) Having a parent connect to trained personnel via video-conference;,"If a parent wants to connect to trained personnel, then they must use video-conference.",,,,
d63f37c3619f8770ac003158414d6f25,"(v) Verifying a parent's identity by checking a form of government-issued identification against databases of such information, where the parent's identification is deleted by the operator from its records promptly after such verification is complete; or","If an operator checks a form of government-issued identification against databases, then they must promptly delete the parent's identification from their records after verification is complete.",,,,
f68b9292fcf26e1fcaca8ebc10320915,"(vi) Provided that, an operator that does not “disclose” (as defined by § 312.2) children's personal information, may use an email coupled with additional steps to provide assurances that the person providing the consent is the parent.","If an operator does not disclose children's personal information, then they may use an email coupled with additional steps to provide assurances that the person providing the consent is a parent.",,,,
e429e4aea7e990852d7b050f2aaea3bc,"Such additional steps include: Sending a confirmatory email to the parent following receipt of consent, or obtaining a postal address or telephone number from the parent and confirming the parent's consent by letter or telephone call.","If a consent is received, then a confirmatory email is sent to the parent. ",,,,
e429e4aea7e990852d7b050f2aaea3bc,"Such additional steps include: Sending a confirmatory email to the parent following receipt of consent, or obtaining a postal address or telephone number from the parent and confirming the parent's consent by letter or telephone call.","If a postal address or telephone number is obtained from the parent, then the parent's consent is confirmed by letter or telephone call.",,,,
dbbab2eb493766600372a2b0b5a2008a,An operator that uses this method must provide notice that the parent can revoke any consent given in response to the earlier email.,"If an operator uses this method, then they must provide notice that the parent can revoke their consent given in response to an email.",,,,
1629da8b74d5d64cc296a22bec4abd19,(3) Safe harbor approval of parental consent methods.,"If a person applies a parental consent method that has been approved by the FTC, then it shall be considered to be in compliance with the Children's Online Privacy Protection Rule.",,,,
10984ed34a2db065b847e99529054902,A safe harbor program approved by the Commission under § 312.11 may approve its member operators' use of a parental consent method not currently enumerated in paragraph (b)(2) of this section where the safe harbor program determines that such parental consent method meets the requirements of paragraph (b)(1) of this section.,"If an operator is a member of a safe harbor program approved by the Commission, then that safe harbor program may authorize the use of a parental consent method not listed in paragraph (b)(2) of this section.",,,,
10984ed34a2db065b847e99529054902,A safe harbor program approved by the Commission under § 312.11 may approve its member operators' use of a parental consent method not currently enumerated in paragraph (b)(2) of this section where the safe harbor program determines that such parental consent method meets the requirements of paragraph (b)(1) of this section.,"If that safe harbor program determines that the parental consent method meets the requirements of paragraph (b)(1), then the parental consent method is approved.",,,,
dc5d730cb3a4768f59988d8830b8ce55,(c) Exceptions to prior parental consent.,"If the parent/guardian is not available to provide consent, then the health care provider may give emergency medical treatment to the minor.",,,,
dc5d730cb3a4768f59988d8830b8ce55,(c) Exceptions to prior parental consent.,"If the health care provider is of the opinion that the minor is mature enough to consent to the medical treatment, then they may provide it without prior parental consent.",,,,
dc5d730cb3a4768f59988d8830b8ce55,(c) Exceptions to prior parental consent.,"If a court of competent jurisdiction authorizes the emergency medical treatment, then the health care provider may provide such treatment without prior parental consent.",,,,
ca43fe9099a490768fd67e333026898e,"Verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child except as set forth in this paragraph:","If a website operator collects, uses, or discloses personal information from a child, then verifiable parental consent is required.",,,,
ca43fe9099a490768fd67e333026898e,"Verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child except as set forth in this paragraph:","Unless an exception applies, then verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child.",,,,
ca43fe9099a490768fd67e333026898e,"Verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child except as set forth in this paragraph:","If an exception applies, then verifiable parental consent is not required prior to any collection, use, or disclosure of personal information from a child.",,,,
a5e1b5956ffdffbbc607eae17af39735,(1) Where the sole purpose of collecting the name or online contact information of the parent or child is to provide notice and obtain parental consent under § 312.4(c)(1).,"If the purpose of collecting a parent or child's name or online contact information is solely to provide notice and seek parental consent, then it is in compliance with § 312.4(c)(1).",,,,
8cd4055aa50d77b4f882b63236dfa3a8,"If the operator has not obtained parental consent after a reasonable time from the date of the information collection, the operator must delete such information from its records;","If the operator has not received parental consent within a reasonable amount of time, then they must delete the collected information from their records.",,,,
5e8dfd0a275d093b53c727725e64fc33,"(2) Where the purpose of collecting a parent's online contact information is to provide voluntary notice to, and subsequently update the parent about, the child's participation in a Web site or online service that does not otherwise collect, use, or disclose children's personal information.","If a purpose of collecting a parent's online contact information is to provide voluntary notice about a child's participation in a Web site or online service, ",,,,
5e8dfd0a275d093b53c727725e64fc33,"(2) Where the purpose of collecting a parent's online contact information is to provide voluntary notice to, and subsequently update the parent about, the child's participation in a Web site or online service that does not otherwise collect, use, or disclose children's personal information.","Then the Web site or online service does not collect, use, or disclose the child's personal information.",,,,
9b18ef06cf8dd425122c0170d71c3ca7,"In such cases, the parent's online contact information may not be used or disclosed for any other purpose.","If someone is requesting online contact information for a parent, then that information may not be used or disclosed for any other purpose.",,,,
be59ef37f4ae4443c6f5381ef327681a,"In such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in § 312.4(c)(2);","If there is a case, then the operator must make reasonable efforts to use available technology. ",,,,
be59ef37f4ae4443c6f5381ef327681a,"In such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in § 312.4(c)(2);","If the parent needs to be notified, then the operator must follow § 312.4(c)(2).",,,,
