promptID,promptText,completion,changes,comments,open1,open2
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,No person may operate a motor vehicle on a highway unless the person has a valid driver's license issued to the person under this chapter.,,,,
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,"If a person operates a motor vehicle on a highway, then they must have a valid driver's license issued to them under this chapter. ",,,,
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,"If a person does not have a valid driver's license issued to them under this chapter, then they may not operate a motor vehicle on a highway.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator collects personal information from children, then they must obtain verifiable parental consent.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator uses personal information from children, then they must obtain verifiable parental consent.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator discloses personal information from children, then they must obtain verifiable parental consent.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator makes a material change to their collection, use, or disclosure practices, then they must obtain verifiable parental consent.",,,,
df60ee2e47b7a482e8b8a12cbd3835a4,(2) An operator must give the parent the option to consent to the collection and use of the child's personal information without consenting to disclosure of his or her personal information to third parties.,"If an operator collects a child's personal information, then the parent must be given the option to consent to the collection and use of the child's personal information.",,,,
df60ee2e47b7a482e8b8a12cbd3835a4,(2) An operator must give the parent the option to consent to the collection and use of the child's personal information without consenting to disclosure of his or her personal information to third parties.,"If an operator collects a child's personal information, then the parent must be given the option to consent to the use of the child's personal information without consenting to disclosure of the child's personal information to third parties.",,,,
71d7ee3b2982c35466de62f62dc47b32,(b) Methods for verifiable parental consent.,"If a website or online service operator collects personal information from a child, then the operator must provide a mechanism for obtaining verifiable parental consent.",,,,
71d7ee3b2982c35466de62f62dc47b32,(b) Methods for verifiable parental consent.,"If a website or online service operator provides a mechanism for obtaining verifiable parental consent, then the operator must make reasonable efforts to ensure that the person providing consent is the child's parent.",,,,
71d7ee3b2982c35466de62f62dc47b32,(b) Methods for verifiable parental consent.,"If a website or online service operator provides a mechanism for obtaining verifiable parental consent, then the operator must provide a direct notice to the parent of the operator's information practices with respect to the collection, use, or disclosure of the child's personal information.",,,,
71d7ee3b2982c35466de62f62dc47b32,(b) Methods for verifiable parental consent.,"If a website or online service operator provides a mechanism for obtaining verifiable parental consent, then the operator must provide the parent with the opportunity to prevent the operator from making further use of the child's information.",,,,
1cbfc676fe09d3c971109fa8cb85ae52,"(1) An operator must make reasonable efforts to obtain verifiable parental consent, taking into consideration available technology.","If an operator wants to obtain verifiable parental consent, then they must make reasonable efforts. ",,,,
1cbfc676fe09d3c971109fa8cb85ae52,"(1) An operator must make reasonable efforts to obtain verifiable parental consent, taking into consideration available technology.","If available technology is present, then the operator must take it into consideration.",,,,
34bec9731ef2346627b2772ceee997a0,"Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child's parent.","If a method is used to obtain verifiable parental consent, then it must be reasonably calculated.",,,,
34bec9731ef2346627b2772ceee997a0,"Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child's parent.","If available technology is present, then it must be used to ensure that the person providing consent is the child's parent.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If a parent provides a signed, written statement, then verifiable parental consent is obtained.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If a parent provides a copy of a form of identification, then verifiable parental consent is obtained.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If a parent provides a combination of a signed, written statement and a copy of a form of identification, then verifiable parental consent is obtained.",,,,
559187c643cbe3b1ab08fcec14f0ca72,"(i) Providing a consent form to be signed by the parent and returned to the operator by postal mail, facsimile, or electronic scan;","If a parent provides consent, then the operator must receive the form by postal mail, facsimile, or electronic scan.",,,,
47d137224db42540de5bff57efcda23b,"(ii) Requiring a parent, in connection with a monetary transaction, to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder;","If a parent is engaging in a monetary transaction, then they must use a credit card, debit card, or other online payment system. ",,,,
47d137224db42540de5bff57efcda23b,"(ii) Requiring a parent, in connection with a monetary transaction, to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder;","If a parent is using a credit card, debit card, or other online payment system, then the primary account holder must be notified of each discrete transaction.",,,,
819465aacb82d12a2edff2657c51b0d3,(iii) Having a parent call a toll-free telephone number staffed by trained personnel;,"If a parent calls a toll-free telephone number, then trained personnel will answer the call.",,,,
6094a2ac1f23196ca2df3e4c5e623c83,(iv) Having a parent connect to trained personnel via video-conference;,"If a parent connects to trained personnel via video-conference, then they must comply with the regulations.",,,,
