promptID,promptText,completion,changes,comments,open1,open2
a4c6dac28f5d658b653bd42744b9cc20,(a) General requirements.,"An institution shall maintain a sound system of internal accounting control that provides reasonable assurance that transactions are executed in accordance with management's general or specific authorization; that transactions are recorded as necessary to permit preparation of financial statements in accordance with generally accepted accounting principles or any other criteria applicable to the entity; and that access to assets is permitted only in accordance with management's general or specific authorization.  If an institution executes a transaction, then it must have management's general or specific authorization. If an institution records a transaction, then it must be done in accordance with generally accepted accounting principles or other criteria applicable to the entity. If someone has access to an asset, then it must have management's general or specific authorization.",,,,
6c6c49d8613544ab52cf1cc1db1980b8,"(1) An operator must obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.","If an operator collects, uses, or discloses personal information from children, then they must obtain verifiable parental consent. If an operator makes a material change to their collection, use, or disclosure practices, then they must obtain verifiable parental consent.",,,,
df60ee2e47b7a482e8b8a12cbd3835a4,(2) An operator must give the parent the option to consent to the collection and use of the child's personal information without consenting to disclosure of his or her personal information to third parties.,"If an operator collects information from a child, then the operator must give the parent the option to consent to the collection and use of the child's personal information. If a parent consents to the collection and use of a child's personal information, then the parent does not have to consent to the disclosure of the child's personal information to third parties.",,,,
71d7ee3b2982c35466de62f62dc47b32,(b) Methods for verifiable parental consent.,"If a website or online service requests parental consent for the collection of a child's personal information, then the operator shall provide a reasonable means for verifying that the person providing consent is the child's parent or guardian.  If a website or online service requests parental consent for the collection of a child's personal information, then the operator shall provide a way to verify the identity of the person providing consent.  If a website or online service requests parental consent for the collection of a child's personal information, then the operator shall ensure that the person providing consent is the child's parent or guardian.",,,,
1cbfc676fe09d3c971109fa8cb85ae52,"(1) An operator must make reasonable efforts to obtain verifiable parental consent, taking into consideration available technology.","If an operator is required to obtain verifiable parental consent, then they must make reasonable efforts to do so. Furthermore, if technology is available, then the operator must take it into consideration when obtaining consent.",,,,
34bec9731ef2346627b2772ceee997a0,"Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child's parent.","If a method to obtain parental consent is used, then it must be reasonably calculated to ensure that the person providing consent is the child's parent. AND If available technology is used, then it must be reasonably calculated to ensure that the person providing consent is the child's parent.",,,,
c40176d312c294fcc27fb4f79163bffe,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,"If a parent submits a consent form signed in the presence of a notary public, then verifiable parental consent has been obtained.  If a parent or guardian provides a signed photo or scanned copy of a signed form, then verifiable parental consent has been obtained.  If a parent or guardian provides a signed photo or scanned copy of a government-issued ID and a signed form, then verifiable parental consent has been obtained.  If a parent or guardian provides a credit card or other payment system transaction, then verifiable parental consent has been obtained.",,,,
559187c643cbe3b1ab08fcec14f0ca72,"(i) Providing a consent form to be signed by the parent and returned to the operator by postal mail, facsimile, or electronic scan;","If a parent is providing consent, then the operator must provide a consent form. If the parent signs the consent form, then the operator must receive it by postal mail, facsimile, or electronic scan.",,,,
47d137224db42540de5bff57efcda23b,"(ii) Requiring a parent, in connection with a monetary transaction, to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder;","IF a parent is involved in a monetary transaction, THEN they are required to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder.",,,,
819465aacb82d12a2edff2657c51b0d3,(iii) Having a parent call a toll-free telephone number staffed by trained personnel;,"If a parent calls a toll-free telephone number, then the personnel on the line are trained.",,,,
6094a2ac1f23196ca2df3e4c5e623c83,(iv) Having a parent connect to trained personnel via video-conference;,"If a parent connects to trained personnel via video-conference, then they comply with the regulation.",,,,
d63f37c3619f8770ac003158414d6f25,"(v) Verifying a parent's identity by checking a form of government-issued identification against databases of such information, where the parent's identification is deleted by the operator from its records promptly after such verification is complete; or","If a parent presents a form of government-issued identification, then the operator will check it against databases of such information. If the operator verifies the parent's identity, then it will promptly delete the parent's identification from its records.",,,,
f68b9292fcf26e1fcaca8ebc10320915,"(vi) Provided that, an operator that does not “disclose” (as defined by § 312.2) children's personal information, may use an email coupled with additional steps to provide assurances that the person providing the consent is the parent.","If an operator does not disclose children's personal information, then they may use an email coupled with additional steps to prove the person giving consent is the parent.",,,,
e429e4aea7e990852d7b050f2aaea3bc,"Such additional steps include: Sending a confirmatory email to the parent following receipt of consent, or obtaining a postal address or telephone number from the parent and confirming the parent's consent by letter or telephone call.","If a consent is received, then a confirmatory email should be sent to the parent.  If a postal address or telephone number is obtained from the parent, then their consent should be confirmed by letter or telephone call.",,,,
dbbab2eb493766600372a2b0b5a2008a,An operator that uses this method must provide notice that the parent can revoke any consent given in response to the earlier email.,"If an operator uses this method, then they must provide notice that the parent can revoke any consent given in response to the earlier email.",,,,
1629da8b74d5d64cc296a22bec4abd19,(3) Safe harbor approval of parental consent methods.,"If a method of parental consent is approved by the Federal Trade Commission, then it will qualify as a safe harbor approval.",,,,
10984ed34a2db065b847e99529054902,A safe harbor program approved by the Commission under § 312.11 may approve its member operators' use of a parental consent method not currently enumerated in paragraph (b)(2) of this section where the safe harbor program determines that such parental consent method meets the requirements of paragraph (b)(1) of this section.,"If a safe harbor program is approved by the Commission under § 312.11, then the program may approve its member operators' use of a parental consent method.  If the safe harbor program determines that the parental consent method meets the requirements of paragraph (b)(1) of this section, then the parental consent method does not need to be enumerated in paragraph (b)(2) of this section.",,,,
dc5d730cb3a4768f59988d8830b8ce55,(c) Exceptions to prior parental consent.,There is no requirement for prior parental consent if:  If the minor is married; then no prior parental consent is required.  If the minor is a parent; then no prior parental consent is required.  If the minor is emancipated; then no prior parental consent is required.  If the minor is over the age of 18; then no prior parental consent is required.,,,,
ca43fe9099a490768fd67e333026898e,"Verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child except as set forth in this paragraph:","If personal information is collected, used, or disclosed, then verifiable parental consent is required.  If personal information is collected, used, or disclosed from a child, then verifiable parental consent is required prior to such.  If any collection, use, or disclosure of personal information from a child is done, then verifiable parental consent is needed before.",,,,
a5e1b5956ffdffbbc607eae17af39735,(1) Where the sole purpose of collecting the name or online contact information of the parent or child is to provide notice and obtain parental consent under § 312.4(c)(1).,"If the purpose of collecting the name or online contact information of the parent or child is only to provide notice and obtain parental consent, then it must comply with § 312.4(c)(1)",,,,
8cd4055aa50d77b4f882b63236dfa3a8,"If the operator has not obtained parental consent after a reasonable time from the date of the information collection, the operator must delete such information from its records;","If the operator has not received parental consent within a reasonable time of collecting information, then they must delete that information from their records.",,,,
5e8dfd0a275d093b53c727725e64fc33,"(2) Where the purpose of collecting a parent's online contact information is to provide voluntary notice to, and subsequently update the parent about, the child's participation in a Web site or online service that does not otherwise collect, use, or disclose children's personal information.","If the purpose of collecting a parent's online contact information is to provide voluntary notice to the parent, then it must be about their child's participation in a Web site or online service that does not collect, use, or disclose children's personal information.  If the purpose of collecting the parent's online contact information is to subsequently update the parent, then this must also be about their child's participation in a Web site or online service that does not collect, use, or disclose children's personal information.",,,,
9b18ef06cf8dd425122c0170d71c3ca7,"In such cases, the parent's online contact information may not be used or disclosed for any other purpose.","If a situation involves a parent, then their online contact information must not be used. If a situation involves a parent, then their online contact information must not be disclosed. If a situation involves a parent, then their online contact information must not be used or disclosed for any other purpose.",,,,
be59ef37f4ae4443c6f5381ef327681a,"In such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in § 312.4(c)(2);","If an operator is responsible for providing notice, then they must make reasonable efforts to ensure the parent receives the notice. If available technology allows for notice to be provided to the parent, then the operator must take that into account when making efforts to ensure the parent receives notice. If the operator is required to provide notice to the parent, then they must meet the requirements defined in § 312.4(c)(2).",,,,
99df21189f0d45fcbab4ede9aaac8879,"(3) Where the sole purpose of collecting online contact information from a child is to respond directly on a one-time basis to a specific request from the child, and where such information is not used to re-contact the child or for any other purpose, is not disclosed, and is deleted by the operator from its records promptly after responding to the child's request;","If an operator collects online contact information from a child, Then the purpose of collecting must be to respond directly on a one-time basis to a specific request from the child. If an operator collects online contact information from a child, Then the information must not be used to re-contact the child or for any other purpose. If an operator collects online contact information from a child, Then the information must not be disclosed. If an operator collects online contact information from a child, Then the information must be deleted from the operator's records promptly after responding to the child's request.",,,,
7139ffce6cfd36b3b167e7f3933838de,"(4) Where the purpose of collecting a child's and a parent's online contact information is to respond directly more than once to the child's specific request, and where such information is not used for any other purpose, disclosed, or combined with any other information collected from the child.","If a purpose of collecting a child's and a parent's online contact information is to respond directly more than once to the child's specific request, then the information must not be used for any other purpose, disclosed, or combined with any other information collected from the child.",,,,
7ca4cef380a2e60f8447aa933353bda9,"In such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in § 312.4(c)(3).","IF an operator is in such a case, THEN they must make reasonable efforts with available technology. IF those reasonable efforts are made, THEN the parent must receive notice as specified in § 312.4(c)(3).",,,,
d056203a818f584ddb951af94fc50118,An operator will not be deemed to have made reasonable efforts to ensure that a parent receives notice where the notice to the parent was unable to be delivered;,"the address of the parent is no longer valid; or the operator has exhausted all reasonable means of delivery.  If an operator has attempted to deliver a notice to a parent but it was not successful, then the operator will not be seen as having made reasonable efforts.  If the address of the parent is no longer valid, then the operator will not be seen as having made reasonable efforts.  If the operator has used up all reasonable means of delivery, then the operator will not be seen as having made reasonable efforts.",,,,
96ca3903147d16b7204bd4be22d96ab7,"(5) Where the purpose of collecting a child's and a parent's name and online contact information, is to protect the safety of a child, and where such information is not used or disclosed for any purpose unrelated to the child's safety.","If the purpose of collecting a child's and a parent's name and online contact information is to protect the safety of a child, then the information should not be used or disclosed for any purpose unrelated to the child's safety.",,,,
67dc37a4d45c144a32025dd7ec12f2df,"In such cases, the operator must make reasonable efforts, taking into consideration available technology, to provide a parent with notice as described in § 312.4(c)(4);","If an operator is responsible for providing notice, then they must make reasonable efforts to do so using available technology. If a parent is entitled to notice, then the operator must provide it in accordance with § 312.4(c)(4).",,,,
3172c1757e5127298dc8ce2b1d7b4fd7,(6) Where the purpose of collecting a child's name and online contact information is to:,"If the purpose of collecting a child's name and online contact information is to establish or maintain an online account, then the operator must provide reasonable security measures.  If the purpose of collecting a child's name and online contact information is to provide internal functionality, then the operator must make reasonable efforts to delete such information.  If the purpose of collecting a child's name and online contact information is to respond to a one-time request, then the operator is not required to delete such information after responding to the request.  If the purpose of collecting a child's name and online contact information is to protect the safety of a child or other users of the website, then the operator must delete such information when it is no longer necessary.",,,,
d43afbd2494291b948c34250e9680754,(i) Protect the security or integrity of its Web site or online service;,"or (ii) Protect itself against liability.  If a website or online service seeks to protect its security or integrity, then it must take action.  If a website or online service seeks to protect itself against liability, then it must take action.",,,,
7d998a9587a83a9fd604943799124740,(ii) Take precautions against liability;,"If a person takes action, then they must take precautions against liability; If a person is making a decision, then they must take precautions against liability; If a person is handling property, then they must take precautions against liability; If a person is entering into a contract, then they must take precautions against liability;",,,,
9865de01e38532de695de0c083b986e0,(iii) Respond to judicial process; or,"If a judicial process is required, then the party must respond.",,,,
164c61d6331eb48acf754d5964ca567e,"(iv) To the extent permitted under other provisions of law, to provide information to law enforcement agencies or for an investigation on a matter related to public safety; and where such information is not be used for any other purpose;","If permitted by other laws, then information can be provided to law enforcement agencies or for investigations related to public safety; AND If the information is not used for any purpose other than public safety, then it can be provided.",,,,
51775a2958a99dca3eadd7ccb9439167,(7) Where an operator collects a persistent identifier and no other personal information and such identifier is used for the sole purpose of providing support for the internal operations of the Web site or online service.,"If an operator collects only a persistent identifier and no other personal information, then the identifier must be used solely to provide support for the internal operations of the web site or online service.",,,,
7ec42b1e5e16803b14e5f29b81bdbc0e,"In such case, there also shall be no obligation to provide notice under § 312.4; or","to provide, or permit access to, records under § 312.5.  If a case qualifies, then there is no obligation to provide notice under § 312.4. If a case qualifies, then there is no obligation to provide, or permit access to, records under § 312.5.",,,,
0ce28457d844277d8a9a8cf168289397,(8) Where an operator covered under paragraph (2) of the definition of Web site or online service directed to children in § 312.2 collects a persistent identifier and no other personal information from a user who affirmatively interacts with the operator and whose previous registration with that operator indicates that such user is not a child.,"If an operator covered under paragraph (2) of the definition of Web site or online service directed to children in § 312.2 collects a persistent identifier, and if that operator has no other personal information from a user, and if that user has affirmatively interacted with the operator, and if that user's previous registration with the operator indicates that the user is not a child, then no further action is required.",,,,
cad78914bf544ea6bf893aff612fe679,"In such case, there also shall be no obligation to provide notice under § 312.4.","If a case is presented, then there is no obligation to provide notice under § 312.4.",,,,
