promptID,promptText,completion,changes,comments,open1,open2
1567c3d9028aa22a31a47f677419a91e,"
            (a) 
            How to provide notices.","If a notice is required, then it must be provided in writing. ",,,,
1567c3d9028aa22a31a47f677419a91e,"
            (a) 
            How to provide notices.","If it is sent by mail, then it must be sent to the last known address of the addressee. ",,,,
1567c3d9028aa22a31a47f677419a91e,"
            (a) 
            How to provide notices.","If it is sent by email, then it must be sent to the last known email address of the addressee. ",,,,
1567c3d9028aa22a31a47f677419a91e,"
            (a) 
            How to provide notices.","If the notice is sent by other means, then it must be sent in accordance with the applicable law.",,,,
02acccf89beb9b07202e100d46fb1df0,"You must provide any privacy notices and opt out notices, including short-form initial notices, that this part requires so that each consumer can reasonably be expected to receive actual notice in writing or, if the consumer agrees, electronically.","If a consumer is required to receive privacy notices and opt out notices, then they must be given in a written or electronic form.",,,,
02acccf89beb9b07202e100d46fb1df0,"You must provide any privacy notices and opt out notices, including short-form initial notices, that this part requires so that each consumer can reasonably be expected to receive actual notice in writing or, if the consumer agrees, electronically.","If a consumer agrees to receive notices electronically, then they must be given a short-form initial notice.",,,,
02acccf89beb9b07202e100d46fb1df0,"You must provide any privacy notices and opt out notices, including short-form initial notices, that this part requires so that each consumer can reasonably be expected to receive actual notice in writing or, if the consumer agrees, electronically.","If a consumer is expected to receive actual notice, then it must be in writing or electronically.",,,,
8eade994f43489078e153e9864e94811,"
            (b)(1) 
            Examples of reasonable expectation of actual notice.","If the notice was sent through a method of delivery that requires a signed receipt, then a reasonable expectation of actual notice exists.",,,,
8eade994f43489078e153e9864e94811,"
            (b)(1) 
            Examples of reasonable expectation of actual notice.","If the notice was sent through a method of delivery that requires a delivery confirmation, then a reasonable expectation of actual notice exists.",,,,
8eade994f43489078e153e9864e94811,"
            (b)(1) 
            Examples of reasonable expectation of actual notice.","If the notice was sent through a method of delivery that requires the recipient to pick up the notice from a designated location, then a reasonable expectation of actual notice exists.",,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,If you:,,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,"1. use an address for the consumer that is obtained within the previous six months, ",,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,then the consumer will receive actual notice.,,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,"2. use a telephone number for the consumer that is obtained within the previous six months,",,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,then the consumer will receive actual notice.,,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,"3. provide the notice to an address or telephone number that the consumer has previously provided to you,",,,,
3dc5513a99ff66aaa262fb0b7779ddbd,You may reasonably expect that a consumer will receive actual notice if you:,then the consumer will receive actual notice.,,,,
bc0137d5b888e3a19aa413d6d0d109af,(i) Hand-deliver a printed copy of the notice to the consumer;,"or (ii) Send a copy of the notice by registered or certified mail, return receipt requested, to the consumer at the address provided to the seller.",,,,
bc0137d5b888e3a19aa413d6d0d109af,(i) Hand-deliver a printed copy of the notice to the consumer;,"If the seller has the consumer's address, then they must hand-deliver a printed copy of the notice.",,,,
bc0137d5b888e3a19aa413d6d0d109af,(i) Hand-deliver a printed copy of the notice to the consumer;,"If the seller has the consumer's address, then they must send a copy of the notice by registered or certified mail, return receipt requested.",,,,
3466d0fff3fbb2062bb8a6e870d96337,(ii) Mail a printed copy of the notice to the last known address of the consumer;,"If a consumer has a last known address, then the mailing service must send a printed copy of the notice to that address.",,,,
7f32c958ca0259636f83afcf33803a24,"(iii) For the consumer who conducts transactions electronically, clearly and conspicuously post the notice on the electronic site and require the consumer to acknowledge receipt of the notice as a necessary step to obtaining a particular financial product or service;","If a consumer conducts a transaction electronically, then the notice must be clearly and conspicuously posted on the electronic site.",,,,
7f32c958ca0259636f83afcf33803a24,"(iii) For the consumer who conducts transactions electronically, clearly and conspicuously post the notice on the electronic site and require the consumer to acknowledge receipt of the notice as a necessary step to obtaining a particular financial product or service;","If a consumer wants to obtain a particular financial product or service, then they must acknowledge receipt of the notice as a necessary step.",,,,
f00f1e655f5672a6cba8169ec010cbf0,"(iv) For an isolated transaction with the consumer, such as an ATM transaction, post the notice on the ATM screen and require the consumer to acknowledge receipt of the notice as a necessary step to obtaining the particular financial product or service.","IF a consumer requests an ATM transaction, THEN they must acknowledge receipt of the notice on the ATM screen as a necessary step to obtain the financial product or service.",,,,
01de72959f12c7d80d8f42dd02ade1a2,"
            (2) 
            Examples of unreasonable expectation of actual notice.","If a communication or notice needs to be sent to a consumer, then it is an unreasonable expectation if the consumer has no way of actually receiving it. ",,,,
01de72959f12c7d80d8f42dd02ade1a2,"
            (2) 
            Examples of unreasonable expectation of actual notice.","If a consumer has no valid address or phone number on file, then it is an unreasonable expectation if the consumer can not be contacted. ",,,,
01de72959f12c7d80d8f42dd02ade1a2,"
            (2) 
            Examples of unreasonable expectation of actual notice.","If a consumer is not registered with any list that the communication or notice is being sent out to, then it is an unreasonable expectation if the consumer will receive it.",,,,
